 2.00  9750. -5.0  2.0   0.3767   0.3169   0.3449 
 2.50  9750. -5.0  2.0   0.3578   0.3014   0.3237 
 3.00  9750. -5.0  2.0   0.3480   0.2942   0.3056 
 3.50  9750. -5.0  2.0   0.3436   0.2915   0.2939 
 4.00  9750. -5.0  2.0   0.3422   0.2909   0.2871 
 4.50  9750. -5.0  2.0   0.3419   0.2909   0.2843 
 5.00  9750. -5.0  2.0   0.3425   0.2918   0.2811 
 2.00 10000. -5.0  2.0   0.3743   0.3142   0.3469 
 2.50 10000. -5.0  2.0   0.3541   0.2977   0.3244 
 3.00 10000. -5.0  2.0   0.3431   0.2895   0.3057 
 3.50 10000. -5.0  2.0   0.3380   0.2861   0.2936 
 4.00 10000. -5.0  2.0   0.3361   0.2851   0.2869 
 4.50 10000. -5.0  2.0   0.3352   0.2844   0.2842 
 5.00 10000. -5.0  2.0   0.3352   0.2846   0.2822 
 2.00 10500. -5.0  2.0   0.3705   0.3099   0.3506 
 2.50 10500. -5.0  2.0   0.3477   0.2913   0.3259 
 3.00 10500. -5.0  2.0   0.3349   0.2816   0.3054 
 3.50 10500. -5.0  2.0   0.3286   0.2772   0.2922 
 4.00 10500. -5.0  2.0   0.3261   0.2757   0.2851 
 4.50 10500. -5.0  2.0   0.3247   0.2746   0.2825 
 5.00 10500. -5.0  2.0   0.3235   0.2733   0.2819 
 2.50 11000. -5.0  2.0   0.3422   0.2857   0.3279 
 3.00 11000. -5.0  2.0   0.3280   0.2750   0.3051 
 3.50 11000. -5.0  2.0   0.3207   0.2697   0.2906 
 4.00 11000. -5.0  2.0   0.3175   0.2676   0.2828 
 4.50 11000. -5.0  2.0   0.3160   0.2664   0.2803 
 5.00 11000. -5.0  2.0   0.3144   0.2648   0.2800 
 2.50 11500. -5.0  2.0   0.3376   0.2811   0.3298 
 3.00 11500. -5.0  2.0   0.3220   0.2693   0.3049 
 3.50 11500. -5.0  2.0   0.3138   0.2634   0.2887 
 4.00 11500. -5.0  2.0   0.3099   0.2608   0.2801 
 4.50 11500. -5.0  2.0   0.3082   0.2593   0.2773 
 5.00 11500. -5.0  2.0   0.3068   0.2578   0.2772 
 2.50 12000. -5.0  2.0   0.3337   0.2771   0.3321 
 3.00 12000. -5.0  2.0   0.3166   0.2641   0.3051 
 3.50 12000. -5.0  2.0   0.3076   0.2576   0.2870 
 4.00 12000. -5.0  2.0   0.3031   0.2546   0.2774 
 4.50 12000. -5.0  2.0   0.3011   0.2529   0.2739 
 5.00 12000. -5.0  2.0   0.2998   0.2516   0.2740 
 2.50 12500. -5.0  2.0   0.3305   0.2739   0.3343 
 3.00 12500. -5.0  2.0   0.3119   0.2596   0.3053 
 3.50 12500. -5.0  2.0   0.3019   0.2524   0.2857 
 4.00 12500. -5.0  2.0   0.2969   0.2488   0.2749 
 4.50 12500. -5.0  2.0   0.2945   0.2470   0.2708 
 5.00 12500. -5.0  2.0   0.2932   0.2457   0.2704 
 2.50 13000. -5.0  2.0   0.3279   0.2710   0.3371 
 3.00 13000. -5.0  2.0   0.3078   0.2557   0.3057 
 3.50 13000. -5.0  2.0   0.2968   0.2476   0.2845 
 4.00 13000. -5.0  2.0   0.2912   0.2437   0.2726 
 4.50 13000. -5.0  2.0   0.2886   0.2418   0.2673 
 5.00 13000. -5.0  2.0   0.2870   0.2402   0.2669 
 2.00 14000. -5.0  2.0   0.3679   0.3036   0.3783 
 2.50 14000. -5.0  2.0   0.3244   0.2670   0.3429 
 3.00 14000. -5.0  2.0   0.3009   0.2490   0.3073 
 3.50 14000. -5.0  2.0   0.2881   0.2398   0.2823 
 4.00 14000. -5.0  2.0   0.2813   0.2350   0.2680 
 4.50 14000. -5.0  2.0   0.2780   0.2325   0.2612 
 5.00 14000. -5.0  2.0   0.2759   0.2305   0.2598 
 2.50 15000. -5.0  2.0   0.3228   0.2645   0.3502 
 3.00 15000. -5.0  2.0   0.2958   0.2440   0.3099 
 3.50 15000. -5.0  2.0   0.2809   0.2333   0.2810 
 4.00 15000. -5.0  2.0   0.2730   0.2277   0.2640 
 4.50 15000. -5.0  2.0   0.2688   0.2245   0.2558 
 5.00 15000. -5.0  2.0   0.2662   0.2222   0.2534 
 2.50 16000. -5.0  2.0   0.3227   0.2633   0.3585 
 3.00 16000. -5.0  2.0   0.2919   0.2398   0.3143 
 3.50 16000. -5.0  2.0   0.2750   0.2276   0.2815 
 4.00 16000. -5.0  2.0   0.2660   0.2215   0.2614 
 4.50 16000. -5.0  2.0   0.2610   0.2176   0.2517 
 5.00 16000. -5.0  2.0   0.2580   0.2150   0.2483 
 2.50 17000. -5.0  2.0   0.3239   0.2632   0.3679 
 3.00 17000. -5.0  2.0   0.2890   0.2363   0.3203 
 3.50 17000. -5.0  2.0   0.2702   0.2230   0.2832 
 4.00 17000. -5.0  2.0   0.2600   0.2159   0.2602 
 4.50 17000. -5.0  2.0   0.2543   0.2118   0.2483 
 5.00 17000. -5.0  2.0   0.2509   0.2090   0.2437 
 2.50 18000. -5.0  2.0   0.3269   0.2649   0.3774 
 3.00 18000. -5.0  2.0   0.2867   0.2333   0.3275 
 3.50 18000. -5.0  2.0   0.2660   0.2185   0.2868 
 4.00 18000. -5.0  2.0   0.2548   0.2110   0.2604 
 4.50 18000. -5.0  2.0   0.2485   0.2066   0.2465 
 5.00 18000. -5.0  2.0   0.2447   0.2037   0.2403 
 2.50 19000. -5.0  2.0   0.3326   0.2691   0.3863 
 3.00 19000. -5.0  2.0   0.2853   0.2309   0.3355 
 3.50 19000. -5.0  2.0   0.2621   0.2144   0.2912 
 4.00 19000. -5.0  2.0   0.2499   0.2061   0.2623 
 4.50 19000. -5.0  2.0   0.2432   0.2018   0.2459 
 5.00 19000. -5.0  2.0   0.2392   0.1987   0.2385 
 3.00 20000. -5.0  2.0   0.2853   0.2300   0.3441 
 3.50 20000. -5.0  2.0   0.2588   0.2107   0.2967 
 4.00 20000. -5.0  2.0   0.2454   0.2016   0.2650 
 4.50 20000. -5.0  2.0   0.2382   0.1967   0.2473 
 5.00 20000. -5.0  2.0   0.2342   0.1941   0.2381 
 3.00 21000. -5.0  2.0   0.2870   0.2304   0.3536 
 3.50 21000. -5.0  2.0   0.2566   0.2079   0.3031 
 4.00 21000. -5.0  2.0   0.2412   0.1973   0.2690 
 4.50 21000. -5.0  2.0   0.2335   0.1922   0.2491 
 5.00 21000. -5.0  2.0   0.2294   0.1894   0.2392 
 3.00 22000. -5.0  2.0   0.2902   0.2323   0.3635 
 3.50 22000. -5.0  2.0   0.2557   0.2062   0.3109 
 4.00 22000. -5.0  2.0   0.2381   0.1939   0.2737 
 4.50 22000. -5.0  2.0   0.2292   0.1880   0.2520 
 5.00 22000. -5.0  2.0   0.2249   0.1851   0.2408 
 3.00 23000. -5.0  2.0   0.2950   0.2355   0.3736 
 3.50 23000. -5.0  2.0   0.2560   0.2054   0.3197 
 4.00 23000. -5.0  2.0   0.2362   0.1915   0.2800 
 4.50 23000. -5.0  2.0   0.2259   0.1845   0.2561 
 5.00 23000. -5.0  2.0   0.2208   0.1809   0.2438 
 3.00 24000. -5.0  2.0   0.3015   0.2402   0.3832 
 3.50 24000. -5.0  2.0   0.2573   0.2055   0.3290 
 4.00 24000. -5.0  2.0   0.2352   0.1897   0.2874 
 4.50 24000. -5.0  2.0   0.2236   0.1817   0.2616 
 5.00 24000. -5.0  2.0   0.2176   0.1776   0.2476 
 3.00 25000. -5.0  2.0   0.3093   0.2461   0.3928 
 3.50 25000. -5.0  2.0   0.2595   0.2064   0.3383 
 4.00 25000. -5.0  2.0   0.2351   0.1886   0.2952 
 4.50 25000. -5.0  2.0   0.2222   0.1797   0.2675 
 5.00 25000. -5.0  2.0   0.2154   0.1749   0.2521 
 3.00 26000. -5.0  2.0   0.3152   0.2495   0.4045 
